109397	SH0133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42238010657193603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109309	SH0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29348958333333336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109279	SH0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7532667179093006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109334	SH0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6883629191321499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109331	SH0066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6848739495798319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109427	SH0163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9462616822429907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109268	SH0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9028822055137845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109333	SH0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7308970099667774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109391	SH0127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9743178170144462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109399	SH0135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8151315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109265	SH0001	0	0	0	0	0	0	0	0	0	0	0	0.1245928338762215	0	0	0	0	0	0	0.7662866449511401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109305	SH0040	0	0	0	0	0	0	0	0	0	0	0	0.12628571428571428	0	0	0	0	0	0	0.7142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109379	SH0115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8586525759577279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109310	SH0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8549644188410708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109275	SH0011	0	0	0	0.02284527518172378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7159916926272066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109387	SH0123	0	0	0	0.026720647773279354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6753036437246963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109405	SH0141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6057542768273717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109308	SH0043	0	0	0	0.029012118986412046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5839147998531032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109420	SH0156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39999999999999997	0	0	0	0	0	0	0
109422	SH0158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34146341463414637	0	0	0	0	0	0	0
109385	SH0121	0	0	0	0	0	0	0	0	0	0	0	0.11541218637992831	0	0	0	0	0	0	0	0	0	0	0	0.7311827956989247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109386	SH0122	0	0	0	0	0	0	0	0	0	0	0	0.1091091091091091	0	0	0	0	0	0	0	0	0	0	0	0.7167167167167168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109312	SH0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6946206896551724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109425	SH0161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5016429353778752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109398	SH0134	0	0	0	0.37010247136829416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3887884267631103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109403	SH0139	0	0	0	0.268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38639999999999997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109394	SH0130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18862275449101795	0.47904191616766467	0	0	0	0	0
109393	SH0129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0547550432276657	0.14985590778097985	0	0	0	0	0
109328	SH0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9396903015484922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109281	SH0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8930602957906713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109401	SH0137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8976034858387799	0	0	0	0
109322	SH0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6576402321083172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109314	SH0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6804770318021202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109395	SH0131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.695364238410596	0	0	0
109417	SH0153	0	0.10526315789473684	0.21052631578947367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109316	SH0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6677462887989204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109311	SH0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5691573926868045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109280	SH0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94663357120695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109304	SH0039B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49873737373737376	0	0	0	0	0	0	0	0	0	0	0	0	0.1553030303030303	0	0	0	0	0	0	0	0	0	0
109307	SH0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7998065764023211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109313	SH0048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9163760027903732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109416	SH0152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.790247160988644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109390	SH0126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8553846153846154	0
109428	SH0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7391552511415526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1723744292237443	0	0
109319	SH0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9745499689633768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109290	SH0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.863479262672811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109389	SH0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8875
109402	SH0138	0	0	0	0.10464570624120131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36274049741905207	0	0	0	0	0	0	0	0	0	0	0	0	0
109291	SH0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8634934889986529	0	0	0	0	0	0	0	0	0	0	0	0
109299	SH0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7437007874015747	0	0	0	0	0	0	0	0	0	0	0
109419	SH0155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109418	SH0154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109412	SH0148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109392	SH0128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109353	SH0088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109342	SH0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109341	SH0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109340	SH0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109337	SH0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109335	SH0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109329	SH0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109327	SH0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109325	SH0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109324	SH0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109321	SH0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109320	SH0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109303	SH0039A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109292	SH0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109288	SH0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109277	SH0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109269	SH0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109267	SH0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109264	NEC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109263	NEC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109262	NEC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109261	NEC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		22385-36733-364589-363106-903836	22385	503947		37/20940/32-72-2-827-35-796	517-2		41-8129-342356-32	32/1330/335601-2-20866	517-775-608	2-1-106-4-32-117-20-118-108-5	2	62804/911462-1-43057-37489	32/2-2051-2678-38928	2/32-1-4	41-99169	1330/32-2-20866	32-2-2678-2051-38928-6292	32-41-20824-80-9767-2416	2/32-2739-2678-2051-38928-5602-3393	422	62831-49066-41-70818-70820-38924	62831-41-71140-38924-42589	32-2554-982-38767-38269-1354-71161	2-4-32-1-20	62874	2-308-1-4-32-848-832-831	41	41-46292-32-46294-46293	41-32-46302-37242	2-32-2678-2051-38928-39397	2-4-32-6276-11962	41-38757-32	4	2-20905-32-308-4	2-308-4-1-828	2-14840-18685-36973-308-32	2-308-32-4-835	2-308-32-835-4-833	2-106-1-4-32-108	2-869	1	62871	2-1-82-4-20-32-15	32-20940-37038-2-35-37040-80	20940	853-854-855-1730-2308	854/933-853	853-933	854	1732	1732-854-18699-16955	866929	853-854-855-1730	853-854-2308	853-854-855-1730-2332
Average defining sequence proportions and [stdev]		0.837[0.013]-0.051[0.009]-0.042[0.008]-0.042[0.007]-0.028[0.005]	1.000[0.000]	1.000[nan]	0.609[0.241]/0.391[0.241]	0.408[0.094]/0.217[0.101]/0.151[0.083]-0.077[0.025]-0.059[0.020]-0.036[0.010]-0.033[0.013]-0.021[0.005]	0.971[0.019]-0.029[0.019]	0.780[0.235]/0.220[0.235]	0.672[0.010]-0.175[0.010]-0.079[0.010]-0.074[0.009]	0.396[0.132]/0.246[0.058]/0.171[0.157]-0.131[0.030]-0.056[0.024]	0.892[0.060]-0.060[0.055]-0.048[0.007]	0.357[0.050]-0.229[0.041]-0.187[0.067]-0.057[0.006]-0.050[0.015]-0.044[0.017]-0.025[0.011]-0.018[0.009]-0.017[0.011]-0.015[0.003]	1.000[0.000]	0.392[0.022]/0.387[0.024]-0.090[0.014]-0.077[0.013]-0.054[0.008]	0.449[0.142]/0.305[0.097]-0.107[0.016]-0.080[0.022]-0.058[0.025]	0.639[0.277]/0.219[0.324]-0.127[0.172]-0.015[0.006]	0.741[0.046]-0.259[0.046]	0.417[0.186]/0.314[0.076]-0.159[0.057]-0.110[0.080]	0.491[0.071]-0.217[0.078]-0.106[0.052]-0.103[0.016]-0.058[0.028]-0.025[0.015]	0.751[0.022]-0.090[0.000]-0.069[0.002]-0.043[0.017]-0.028[0.002]-0.019[0.005]	0.286[0.042]/0.215[0.132]-0.190[0.123]-0.133[0.021]-0.096[0.046]-0.049[0.017]-0.017[0.002]-0.015[0.008]	1.000[0.000]	0.449[0.025]-0.317[0.017]-0.109[0.014]-0.047[0.005]-0.040[0.001]-0.038[0.010]	0.788[0.014]-0.080[0.001]-0.061[0.008]-0.056[0.019]-0.015[0.003]	0.509[0.011]-0.162[0.019]-0.120[0.010]-0.099[0.008]-0.046[0.010]-0.038[0.002]-0.025[0.013]	0.754[0.001]-0.127[0.005]-0.056[0.010]-0.039[0.021]-0.023[0.004]	1.000[0.000]	0.716[0.080]-0.126[0.064]-0.047[0.008]-0.047[0.002]-0.026[0.005]-0.021[0.005]-0.008[0.002]-0.008[0.004]	1.000[nan]	0.595[nan]-0.233[nan]-0.093[nan]-0.042[nan]-0.038[nan]	0.710[nan]-0.251[nan]-0.025[nan]-0.014[nan]	0.665[nan]-0.123[nan]-0.120[nan]-0.053[nan]-0.025[nan]-0.014[nan]	0.423[nan]-0.337[nan]-0.116[nan]-0.105[nan]-0.020[nan]	0.742[nan]-0.144[nan]-0.114[nan]	1.000[nan]	0.439[nan]-0.393[nan]-0.079[nan]-0.067[nan]-0.023[nan]	0.778[nan]-0.119[nan]-0.040[nan]-0.035[nan]-0.027[nan]	0.665[nan]-0.103[nan]-0.095[nan]-0.057[nan]-0.044[nan]-0.036[nan]	0.839[nan]-0.077[nan]-0.039[nan]-0.035[nan]-0.010[nan]	0.793[nan]-0.094[nan]-0.066[nan]-0.022[nan]-0.021[nan]-0.004[nan]	0.402[nan]-0.266[nan]-0.218[nan]-0.054[nan]-0.034[nan]-0.026[nan]	0.556[nan]-0.444[nan]	1.000[nan]	1.000[nan]	0.304[nan]-0.260[nan]-0.223[nan]-0.068[nan]-0.062[nan]-0.046[nan]-0.037[nan]	0.330[nan]-0.248[nan]-0.241[nan]-0.098[nan]-0.034[nan]-0.024[nan]-0.024[nan]	1.000[nan]	0.605[0.064]-0.202[0.042]-0.076[0.030]-0.068[0.029]-0.049[0.039]	0.369[0.062]/0.340[0.195]/0.291[0.136]	0.565[0.047]-0.435[0.047]	1.000[0.000]	1.000[0.000]	0.672[nan]-0.180[nan]-0.117[nan]-0.032[nan]	1.000[nan]	0.632[nan]-0.228[nan]-0.083[nan]-0.056[nan]	0.705[nan]-0.169[nan]-0.126[nan]	0.671[nan]-0.169[nan]-0.108[nan]-0.033[nan]-0.019[nan]
